id,mean_AU01_r,mean_AU02_r,mean_AU04_r,mean_AU05_r,mean_AU06_r,mean_AU07_r,mean_AU09_r,mean_AU10_r,mean_AU12_r,mean_AU14_r,mean_AU15_r,mean_AU17_r,mean_AU20_r,mean_AU23_r,mean_AU25_r,mean_AU26_r,mean_AU45_r,mean_AU01_c,mean_AU02_c,mean_AU04_c,mean_AU05_c,mean_AU06_c,mean_AU07_c,mean_AU09_c,mean_AU10_c,mean_AU12_c,mean_AU14_c,mean_AU15_c,mean_AU17_c,mean_AU20_c,mean_AU23_c,mean_AU25_c,mean_AU26_c,mean_AU45_c,mean_gaze_0_x,mean_gaze_0_y,mean_gaze_0_z,mean_gaze_1_x,mean_gaze_1_y,mean_gaze_1_z,mean_gaze_angle_x,mean_gaze_angle_y,std_AU01_r,std_AU02_r,std_AU04_r,std_AU05_r,std_AU06_r,std_AU07_r,std_AU09_r,std_AU10_r,std_AU12_r,std_AU14_r,std_AU15_r,std_AU17_r,std_AU20_r,std_AU23_r,std_AU25_r,std_AU26_r,std_AU45_r,std_AU01_c,std_AU02_c,std_AU04_c,std_AU05_c,std_AU06_c,std_AU07_c,std_AU09_c,std_AU10_c,std_AU12_c,std_AU14_c,std_AU15_c,std_AU17_c,std_AU20_c,std_AU23_c,std_AU25_c,std_AU26_c,std_AU45_c,std_gaze_0_x,std_gaze_0_y,std_gaze_0_z,std_gaze_1_x,std_gaze_1_y,std_gaze_1_z,std_gaze_angle_x,std_gaze_angle_y
2ea4_Counting1,0.12123333333333332,0.0551,0.8776333333333333,0.09766666666666667,0.7763,0.0005,0.025833333333333333,0.2618333333333333,0.21903333333333336,0.10373333333333334,0.23800000000000002,0.48430000000000006,0.0899,0.09793333333333334,0.6916333333333333,0.3569,0.2328333333333333,0.03,0.043333333333333335,0.0,0.9966666666666667,0.66,0.0,0.0,0.9233333333333333,0.35,0.46,0.03666666666666667,0.3233333333333333,0.03,0.18,0.28,0.05333333333333334,0.05333333333333334,0.07872310666666667,-0.017102850000000003,-0.9921805633333334,-0.08857269666666667,-0.021745553333333334,-0.9906338899999999,-0.004856666666666668,-0.019876666666666667,0.25240014195933513,0.16655165820098677,0.12543995707772343,0.2670961563645284,0.23496241071320437,0.0035766803240530496,0.04009569100305247,0.21278289583066234,0.21076560287058282,0.13368483211149207,0.37867309257034526,0.4161399020283931,0.14348151967516345,0.13737528447591418,0.5347424587714463,0.3140032645805201,0.28336305503496995,0.17087224588772665,0.2039465687344377,0.0,0.05773502691896256,0.47450026519722915,0.0,0.0,0.2665063620734804,0.47776654295295456,0.49923017660270624,0.18825609351281192,0.46853028109529166,0.17087224588772665,0.3848293719103959,0.4497490939308703,0.2250727616773127,0.2250727616773127,0.03350890143518982,0.08847622896065263,0.012939261381404657,0.04490953192270408,0.09058528247416114,0.011768713643412159,0.035252023195178464,0.0905427417438704
2ea4_Counting2,0.2399333333333333,0.12193333333333335,0.6990666666666667,0.04360000000000001,0.36146666666666666,0.0006,0.04013333333333333,0.46653333333333324,0.05486666666666667,0.1807,0.24076666666666668,0.4722666666666666,0.07450000000000001,0.11160000000000002,0.5421,0.33646666666666664,0.5703666666666667,0.11333333333333333,0.17333333333333334,0.0,0.9333333333333333,0.07333333333333333,0.0,0.0,0.87,0.013333333333333334,0.3933333333333333,0.05333333333333334,0.38,0.013333333333333334,0.25,0.26,0.07333333333333333,0.42333333333333334,0.10984192333333333,-0.06452807666666667,-0.9768887833333334,-0.026900356666666667,-0.08919936666666667,-0.9802231966666667,0.04225,-0.07845,0.41450538146054844,0.30728217761174326,0.2070927818390952,0.0897471736822196,0.24745632138257492,0.005693392285717148,0.0707436529804071,0.22311113257856616,0.09004448299933547,0.17562837970896766,0.385744832510106,0.4511718619909678,0.1114277215227244,0.18776837649269468,0.43328864918401183,0.3050623855637428,0.7621981494021501,0.3175294822993921,0.37916766204679037,0.0,0.2498606077393724,0.26111842459139595,0.0,0.0,0.33686534530812934,0.11488931224930929,0.48930592665026296,0.2250727616773127,0.4861974494649481,0.1148893122493093,0.4337361989746802,0.439367133796862,0.2611184245913959,0.4949128049504295,0.09153445202444546,0.1447213982008471,0.015324262610369245,0.07652005934649266,0.15636788546707311,0.01667494036787627,0.08240612881873309,0.15207002270671255
2ea4_Counting3,0.24340000000000003,0.17563333333333334,0.9215,0.052466666666666675,0.5137333333333334,0.004333333333333333,0.044033333333333334,0.2209666666666667,0.029333333333333336,0.06803333333333333,0.16793333333333335,0.3634,0.10326666666666667,0.10103333333333332,0.3944666666666667,0.37929999999999997,0.25386666666666663,0.11,0.14,0.0,1.0,0.17,0.0,0.0,0.8466666666666667,0.013333333333333334,0.02666666666666667,0.03,0.16,0.056666666666666664,0.0,0.07666666666666666,0.02666666666666667,0.05333333333333334,0.09745277333333334,0.0018663566666666668,-0.9927069366666665,-0.10579498333333333,0.0023543433333333345,-0.9910879766666668,-0.004183333333333334,0.00201,0.5832446780854929,0.4702030432645095,0.1865836582835205,0.13751952937220005,0.16165964770015226,0.025311878493409098,0.07747736030666756,0.16691795660246794,0.06659583751358646,0.1319742002083146,0.2518952818114805,0.32792410819545725,0.1386798563746825,0.13153556262982027,0.24722956352174538,0.2466616777644877,0.2827889924834207,0.31341254721080314,0.3475667929841461,0.0,0.0,0.37626042358254347,0.0,0.0,0.3609105294341109,0.1148893122493093,0.16137646493112862,0.17087224588772665,0.36721859746989827,0.23159088211286502,0.0,0.2665063620734804,0.16137646493112862,0.2250727616773127,0.038788395341379525,0.05893136649589106,0.008471793964044428,0.04897913224924828,0.06406511026283145,0.008067774190200735,0.04038265616100078,0.0614903252579985
2ea4_Math,0.09386666666666667,0.044366666666666665,0.9772333333333334,0.03096666666666667,0.6656,0.00019999999999999998,0.030333333333333337,0.4753333333333334,0.06863333333333334,0.1168,0.14319999999999997,0.3583,0.08013333333333333,0.10313333333333335,0.4450333333333333,0.3476666666666667,0.1914,0.013333333333333334,0.0033333333333333335,0.0,0.9966666666666667,0.5733333333333334,0.0,0.0,0.9966666666666667,0.06666666666666667,0.24666666666666667,0.0,0.2733333333333333,0.01,0.14333333333333334,0.13666666666666666,0.02,0.09,0.10712398000000001,-0.0015477900000000007,-0.9931234333333333,-0.06187726333333333,0.006017469999999999,-0.9968264533333333,0.022720000000000004,0.00224,0.16365305771628136,0.08521033717078041,0.334413096762837,0.06814846243309926,0.18122577799169645,0.0014023391829177734,0.05890774678250897,0.19933892976189474,0.1183235695565239,0.14646250105077005,0.17111993877048945,0.3077017678311605,0.1111989188529687,0.1498120859361175,0.33396923569423204,0.25959942557992494,0.22120385126102354,0.11488931224930929,0.05773502691896258,0.0,0.05773502691896256,0.49541937461579416,0.0,0.0,0.05773502691896257,0.24986060773937238,0.43179127043782384,0.0,0.44641517737511843,0.09966499068325337,0.35099794026335723,0.3440690345808724,0.14023391829177734,0.28665992577177274,0.030214106960452413,0.036246863239387805,0.0029406171989211473,0.036638544488942465,0.03359385621539304,0.0030478371147557256,0.028685381358436388,0.03383397987201525
2ea4_Reading,0.12346666666666668,0.06336666666666667,0.7398666666666666,0.04286666666666667,0.5781999999999999,0.003666666666666667,0.030166666666666665,0.41590000000000005,0.014133333333333335,0.1175,0.1442,0.42583333333333334,0.11893333333333334,0.1037,0.5191333333333333,0.36846666666666666,0.2196333333333333,0.016666666666666666,0.03333333333333333,0.0,1.0,0.5466666666666666,0.0,0.0,0.9833333333333333,0.0,0.14,0.013333333333333334,0.29333333333333333,0.11666666666666667,0.06666666666666667,0.2,0.016666666666666666,0.10666666666666667,0.10876495000000001,-0.003070400000000001,-0.9918555266666665,-0.10292341333333332,-0.01271234,-0.9921573933333334,0.0029199999999999994,-0.00801,0.22715482223902644,0.18442806527140804,0.13575497633932931,0.09036038338327697,0.17221775901961775,0.016353808293725205,0.04359634188370654,0.20814242133339478,0.039269017575693045,0.1532831882039031,0.1820645995097587,0.3315449376900743,0.17027283503264912,0.1334541495549869,0.3869561116328166,0.28164409018121117,0.23275476685530727,0.12823299585640946,0.17980541941701306,0.0,0.0,0.49864923451845555,0.0,0.0,0.12823299585640946,0.0,0.3475667929841461,0.11488931224930927,0.45605061425764076,0.3215590505108515,0.2498606077393724,0.40066833797650675,0.12823299585640943,0.30920475550187154,0.041526134330671774,0.05129750303760386,0.00649834264097809,0.04623430549911802,0.05186903140043325,0.0075624572632279645,0.03837127548842618,0.051265032708419464
2ea4_Speaking,0.1065,0.0643,0.7790333333333335,0.05223333333333333,0.6044,0.010166666666666668,0.02656666666666667,0.2945,0.0755,0.07506666666666667,0.18033333333333332,0.3263333333333333,0.09443333333333334,0.0945,0.5813333333333334,0.399,0.23020000000000002,0.006666666666666667,0.07333333333333333,0.0,0.9933333333333333,0.41333333333333333,0.0,0.0,0.9633333333333334,0.03666666666666667,0.11666666666666667,0.016666666666666666,0.33,0.023333333333333334,0.03666666666666667,0.2633333333333333,0.08666666666666667,0.22,0.12711002666666668,-0.002965046666666667,-0.9879634133333334,-0.07968507666666667,-0.013329003333333336,-0.9913910233333335,0.02419,-0.008443333333333336,0.15746130808916362,0.149989442214843,0.1339247987789497,0.12113183711186698,0.26874782102251144,0.03601800305452364,0.040231922410257415,0.22319828609643927,0.3923466191586432,0.20692120118672572,0.2504188242004489,0.26955535458635604,0.15080168893896725,0.15095709151365122,0.46268760695273403,0.31733263305244863,0.2699522316222993,0.08151300584956361,0.26111842459139595,0.0,0.08151300584956361,0.4932543851982259,0.0,0.0,0.1882560935128119,0.1882560935128119,0.3215590505108515,0.12823299585640946,0.47099837036123926,0.15121212222763153,0.18825609351281192,0.44117760727332966,0.28181605677298177,0.41493844488487475,0.05008967034218984,0.07155014050962896,0.012652629538424451,0.0729985353231731,0.07258261337730214,0.007410770624364607,0.05788109626076398,0.0725532911434165
2ea4_Stroop,0.0858,0.04336666666666667,0.8665000000000002,0.03206666666666667,0.47436666666666666,0.0,0.02646666666666667,0.22616666666666665,0.04526666666666666,0.04466666666666667,0.09566666666666666,0.3236,0.076,0.07266666666666667,0.3353333333333333,0.29703333333333326,0.2506333333333333,0.0033333333333333335,0.0033333333333333335,0.0,1.0,0.0033333333333333335,0.0,0.0,0.9466666666666667,0.05,0.24333333333333335,0.0033333333333333335,0.15,0.0,0.01,0.02666666666666667,0.0033333333333333335,0.03,0.0679237,-0.0002940100000000001,-0.9969702233333332,-0.1303193066666667,-0.01805881333333333,-0.9904645400000001,-0.03137666666666667,-0.009216666666666666,0.13794608999830113,0.08336765625380785,0.09076827418576497,0.06872266660454678,0.1053704988551611,0.0,0.04025232566316137,0.14177437049523428,0.08674104517826388,0.06870193160975846,0.12363998155539717,0.21095666787059267,0.10073973884856756,0.10675303081184129,0.23516497209951165,0.21049916520196615,0.3797428264889124,0.05773502691896257,0.05773502691896257,0.0,0.0,0.05773502691896258,0.0,0.0,0.2250727616773127,0.21830909938949905,0.42981160478467867,0.05773502691896257,0.3576680324053049,0.0,0.09966499068325334,0.16137646493112862,0.05773502691896258,0.17087224588772665,0.032217181113805296,0.020008832361688687,0.001780777826028409,0.030006451911887614,0.02748662751787087,0.004523031824416257,0.02894964124099231,0.022533729208953194
2hpu_Counting1,0.326872,0.18745333333333333,0.6383546666666666,0.08170933333333333,0.5941386666666667,0.028018666666666664,0.0462,0.8889013333333333,1.4376906666666667,0.7051039999999998,0.13208266666666665,1.0609146666666667,0.10453866666666667,0.12124799999999998,0.5099039999999999,0.444056,0.24161066666666667,0.13786666666666667,0.13093333333333335,0.0,0.0032,0.23573333333333332,0.029066666666666668,0.010133333333333333,0.9544,0.5221333333333333,0.6170666666666667,0.16746666666666668,0.3562666666666667,0.04293333333333333,0.7746666666666666,0.3682666666666667,0.1536,0.3154666666666667,0.19969775653333333,0.4606524973333333,-0.8619598629333334,-0.0561061448,0.4512350325333333,-0.8870026301333332,0.08199573333333335,0.48082106666666663,0.7559240578684722,0.6045564032750127,0.4071850514477681,0.2185650864893509,0.7853033841428809,0.15561336207561766,0.10400662463255882,0.47579750784321495,1.2634080893808508,0.7936312762725821,0.193706827763646,0.6594849066830822,0.18684400807567586,0.20890189043971769,0.5871985848343599,0.4414632330560542,0.38115604906024814,0.34480596456037116,0.33737241676656704,0.0,0.056485492204233725,0.4245128799046544,0.16801584263134905,0.10016648362637795,0.20864383192327196,0.49957648997330195,0.48616707464486647,0.373441790949919,0.4789591869143098,0.20273387110911567,0.4178573721951327,0.48239857427036176,0.3606129750735698,0.4647634347015892,0.04829590391967179,0.04153788398955923,0.029811169886432592,0.05513756543056765,0.050097372377127386,0.030285690359149377,0.043710418384053144,0.052012409356384404
2hpu_Counting2,0.2564853333333334,0.175856,0.666688,0.05993066666666667,0.5810693333333334,0.09029066666666666,0.06054666666666667,0.9907199999999999,1.772352,0.87196,0.10572266666666667,0.707512,0.10082133333333332,0.06850133333333333,0.582488,0.6138453333333334,0.13420533333333332,0.13493333333333332,0.22773333333333334,0.0248,0.0,0.18213333333333334,0.05413333333333333,0.0,1.0,0.9602666666666667,0.9674666666666667,0.15973333333333334,0.26026666666666665,0.022933333333333333,0.4026666666666667,0.2368,0.1496,0.16,0.23387884186666666,0.4705639997333333,-0.8460658031999999,-0.034467396,0.461481888,-0.8812043610666668,0.11487386666666669,0.49494133333333334,0.4966232942287219,0.47892779527414814,0.35614427926807246,0.166551630768796,0.4314413528671221,0.29510941371606436,0.14489644514907896,0.4087984906057984,0.6639221737548868,0.49712212434008834,0.16456299507295535,0.5145946999766565,0.17228964295774626,0.1434252867581492,0.6067833601335565,0.6103130633434224,0.26270236361082605,0.3416979136791428,0.41942552810781936,0.1555358834576278,0.0,0.3860058492990407,0.22631078920024514,0.0,0.0,0.195358063125917,0.17743537162917547,0.3664074190406308,0.4388385618475805,0.149710963041712,0.4905001321679713,0.42517521845827,0.3567264699175321,0.3666549461822145,0.06854079505303633,0.04706691906492078,0.03364327374462447,0.08328735889741579,0.04198409782002934,0.025067530848681345,0.07888026611739438,0.04984249155703179
2hpu_Counting3,0.266368,0.17608266666666667,0.7896186666666666,0.06465866666666667,0.19333066666666665,4.8e-05,0.039144000000000005,0.8350960000000001,0.648544,0.4972746666666667,0.211568,0.42086133333333337,0.06797333333333333,0.08246933333333333,0.5786426666666666,0.6213519999999999,0.26476,0.08506666666666667,0.08346666666666666,0.0,0.026933333333333333,0.0568,0.0037333333333333333,0.0,0.8874666666666666,0.18453333333333333,0.6504,0.029333333333333333,0.25253333333333333,0.004,0.39066666666666666,0.204,0.1632,0.14266666666666666,0.1383533888,0.446626648,-0.88237596,-0.09235491546666667,0.4394950818666667,-0.8917230018666666,0.0258304,0.46324746666666666,0.693127820503656,0.6278403486825329,0.32350571788572274,0.17562866776034228,0.5011710213399452,0.0016160834735696498,0.07893183975274996,0.30403216978921455,0.7328940230600033,0.5748294996018549,0.30910957232571684,0.31944049424901216,0.12495354947377785,0.17082163329331512,0.5977014278428495,0.636094639027831,0.4296875656890272,0.2790180803807107,0.2766231871317574,0.0,0.1619102205980153,0.23149092886483869,0.06099498060440113,0.0,0.3160636347550064,0.3879702580540482,0.47690721403386843,0.16876161792462793,0.43452341522844395,0.06312735289383072,0.48796487388649346,0.4030227213822898,0.36959733122674643,0.34977923660415394,0.03757182311875606,0.032775594960528696,0.017621434060161593,0.04142225832961897,0.034001264290514144,0.016543530020424087,0.032514330445038285,0.03592416789766085
