,max_eda,min_eda,mean_eda,sd_eda,ku_eda,sk_eda,median_eda,dynrange,scl_slope,max_scr,min_scr,mean_scr,sd_scr,max_scl,min_scl,mean_scl,sd_scl,nSCR,aucSCR,meanAmpSCR,maxAmpSCR,meanRespSCR,sumAmpSCR,sumRespSCR
2ea4_Baseline,1.8570381593474794,-1.5506393678668,0.0001073381197510874,0.9947376021404511,-1.2208272124432344,0.367673531378987,-0.32380694492312584,-1.19759513258211,-0.023885876528914215,0.8022754908029355,-0.6734062295557574,-0.010098759628731316,0.3015667151919695,1.4326109104625262,-1.1327427767080338,0.022667868372909832,0.8915394920897693,10.0,-302.9789335234454,0.6668993871672939,1.475681720358693,1.16,6.6689938716729396,11.6
2ea4_Breathing,2.792215834903117,-1.0200815142597264,-3.898045358760606e-07,0.997299991461477,-0.48405261790231346,0.8615507202132855,-0.34935930912741203,-2.7372477550771315,-0.015164300571360307,1.3220875502351956,-0.7294659855937073,0.0013326105770914243,0.276154583585165,1.9427894502485588,-0.9682295504547345,-0.006435154162016008,0.951185460540644,7.333333333333333,120.03833205832572,0.6516990485882671,1.7485239506136143,1.1260952380952378,4.7791263563139585,7.8826666666666645
2ea4_Counting1,0.8120617704814138,-2.569677725757309,-0.00011113965903872062,0.9956074412229222,-0.1730113026508726,-0.997762996288724,0.5378820604447179,-0.3160169706658804,0.00032292210247654793,1.0219612883184805,-1.0696810175183762,-0.003093250012875075,0.34435816432507665,0.9406678740083589,-2.1590931244479674,0.012778485447511775,0.827482431309941,7.0,-92.5895224146044,0.8607152114829939,2.0916423058368565,2.4334285714285713,6.0250064803809575,17.034
2ea4_Counting2,1.379208208716569,-1.3458121921526152,-7.029753996254537e-05,0.998110400221831,-1.4787910352300269,0.2806788090482485,-0.2241289999708777,-1.024814767438343,-0.04594657974844298,0.8156008941737747,-0.6867054124891458,0.010508995540263131,0.24049219085346535,1.4863486470442804,-1.167275634566003,-0.0117648899507436,0.9374477740270011,6.0,315.59173369614643,0.543248817396217,1.5023063066629205,1.8099999999999998,3.2594929043773018,10.86
2ea4_Counting3,2.030439173130548,-1.7588276224037322,0.00010971223014275893,0.9937408209109542,-1.1004687018121164,-0.11966307089876803,0.181287419022646,-1.154427612613687,-0.04802574752717812,1.225112260594843,-0.7821203117652066,0.018616226504194228,0.3360032323512858,0.9783385063113238,-1.4947081847207595,-0.015553487412751747,0.9040993290877274,12.0,558.7088301178882,0.7211234341044462,1.7432922184220825,1.2821666666666667,8.653481209253355,15.386000000000001
2ea4_Math,2.317205184603221,-1.668630829279203,8.536252650598423e-06,0.9895717636848024,-0.7298839850341152,0.38203627892902375,-0.1892214320234747,-1.388686547044191,-0.038248776843824786,1.2353421827641171,-1.0375253366420645,0.01616354409265556,0.4465766052791527,1.3551258466850438,-1.2494679210904498,-0.0005389260428793932,0.8152671083646964,11.0,485.30623357783986,0.9901167881651388,1.7537006233764152,1.2578,10.891284669816526,12.578000000000001
2ea4_Reading,1.1906359594921356,-1.7747090297018606,-0.00012634841657657792,0.995090689925841,-1.3419935753831842,-0.22874113606175664,0.14222688066527706,-0.6708907993172011,-0.05136984003146552,0.829435408266243,-0.694141055550183,0.015935621360841208,0.32479142493820784,1.2435164752968062,-1.4804337458449093,-0.026955792115314004,0.92645526602778,9.0,478.33491087209484,0.6402241289920203,1.4745078609151658,0.9897142857142857,5.121793031936162,6.928
2ea4_Relax,3.1677216303316587,-1.1156789301331511,-9.733904244098994e-05,0.9979331641320507,0.09840001455758518,1.0067545894061727,-0.42597365733400216,-2.839277093772494,-0.019414248996597237,1.229413147325766,-0.4293967233342277,0.00338467753628635,0.2325481856528782,2.488942372002023,-1.0180839709409313,-0.002249566595077916,0.9521305366633209,4.8,253.8759250980524,0.70639049056492,1.6588098706599936,1.4792727272727275,3.108118158485648,6.508800000000001
2ea4_Speaking,1.367487949400993,-2.120229365402855,-0.0001728444472179035,0.9937756685976825,-1.348849795093926,0.22391317109277195,-0.3208663267046397,-0.6449717052858397,-0.03524430134485212,1.2289635206691694,-1.1235073464185408,0.02516681775186228,0.36290890873542736,1.4989834381976745,-1.0992002381484334,-0.03172529880173773,0.8838104321722559,10.0,755.5534559151753,0.7781205332024842,2.3524708670877104,1.789111111111111,7.781205332024842,16.102
2ea4_Stroop,2.198848216650919,-1.9764282542145415,0.00015528530292731376,0.9876002891496742,-0.7223541039602361,0.2731208963728387,-0.14507637676551827,-1.1125363199813039,-0.03033601754993112,1.1014144639219805,-0.9080624520390376,0.007060034615506077,0.4104466536835864,1.4710557576534573,-1.2631474553643327,-0.03403010916124549,0.843126100644601,15.0,212.12624841681128,0.8764828027024397,1.6699311640580283,1.0132307692307692,13.147242040536597,13.171999999999999
2ea4_Video1,3.2967026268383712,-0.9796498860044547,1.1113497455781549e-05,0.9959770797276747,-0.19469883159202928,0.987999378360054,-0.5597795527406773,-3.365184515341617,0.013241489867962175,1.5793295063070683,-0.8716800342610123,-0.0026629396204009502,0.3231238329693848,1.8907770914883903,-0.9004312583850915,0.004601441448853066,0.9296330111796853,5.172413793103448,-231.85022239397438,0.7909725745994877,2.040691524522119,1.4818666666666664,4.091237454824936,7.664827586206896
2ea4_Video2,2.6869535624639083,-2.2110011842153496,0.00023069421627387474,0.9982203694183538,-0.3769021516684501,-0.3133517515844857,0.2129103398649714,-1.2152655465073696,-0.026311128827864873,1.7067656538519782,-0.6111310439005112,-0.008387303010849112,0.2377801665723548,2.0993390513238896,-1.908358958042102,0.014130058566476028,0.9618313061037381,2.5423728813559325,-495.1441812689435,0.8012907750903476,2.3178966977524893,5.5207999999999995,2.0371799366703756,14.03593220338983
2hpu_Baseline,2.460228650821511,-1.5160885002549285,1.597878847951506e-05,0.9801855961828999,-0.7305205084631226,0.3515114236344463,-0.03074990288988999,-1.6227473860581534,0.031445948470973734,1.7197059305039686,-1.2320913186821092,0.00041548600629612905,0.7269254924573976,1.1658928624689109,-1.1875240436389038,0.0064076423684111435,0.6187084811392797,8.0,12.567050903375161,1.751594472091037,2.850616901296753,1.3025,14.012755776728296,10.42
2hpu_Breathing,2.9018251904900914,-1.1091671321442413,3.0610222627638e-05,0.9970835994508335,-0.34356054569999683,0.9617049872556018,-0.4028696372367917,-2.616219960359161,-0.01644404261399164,1.0296445976999242,-0.5810087745493617,-0.0017048466293667127,0.25909539457804504,2.095474722953371,-1.0296962001369074,-0.00042818753808350165,0.96018195496504,7.0,-153.55255822002403,0.6075743353636107,1.610653372249286,1.616857142857143,4.253020347545275,11.318
2hpu_Counting1,1.666216642549215,-2.367464629863474,-1.8219212050310792e-05,0.9932018632713712,-0.8296854475263009,-0.1300876393693458,-0.07088623229684611,-0.7037979032638396,-0.021731504823360556,0.6354277543374857,-0.6073990424951278,-0.0010014663112358014,0.27927117740825363,1.4254609540314662,-1.9659008042465413,0.01005693851940244,0.8882839317366116,16.0,-29.841906716950803,0.4773247116016368,0.9152567147630977,0.8989230769230769,7.637195385626189,11.686
2hpu_Counting2,1.9614399315561084,-1.2855185072303417,-7.35864719523306e-05,0.9972631208979149,-1.4346846968037397,0.25135984889471286,-0.15288735462899564,-1.5257967275648516,-0.04295401831722405,0.4898989269884166,-0.5641958584489841,-0.0028718910241120835,0.21633521415170542,1.4716890401826757,-1.0734155214896552,0.0026201997595554226,0.9434273555311532,11.0,-86.04452533191923,0.3203007180992733,1.0314328948324425,0.9937999999999999,3.523307899092006,9.937999999999999
2hpu_Counting3,2.308421592489957,-2.4921777087290913,-1.885703272170455e-05,0.9698408240827291,-0.6012800584830846,-0.30292635109136506,0.18737918858016106,-0.9262668486298105,-0.010238971384359584,2.0232451216877445,-1.8206636494320454,0.016778935735454713,0.7125237914886775,0.652717758581446,-1.0128482146277822,0.014140147121555568,0.5029698854789607,11.0,503.63715513088397,1.678276792734652,2.6525565239772746,1.5052727272727273,18.461044720081173,16.558
